text,label_model_1,label_model_2,label_model_3
belgium also say trumps war besides spain country sound reluctant join stupid war italy germany france last three decide yet know consequence terrorist attack massive exodus middle eastern refugee europe,neutral,neutral,neutral
massive war price tag could massive problem top leader prospect balloon new spending bill top leader brace messy internal fight,neutral,neutral,neutral
write american soldier kill innocent woman child suppose oppose russia help iran fight evil shit planet yes evil shit planet russia ukraine four year genocidal war many people know trump trump help russia increase oil price waste american missile result also harm american,anti-iran,anti-iran,anti-iran
verdant square radio playing note bowie hawkins episode,neutral,neutral,neutral
one get away reckless stupid thing like attack iran without plan moment one discussing good bad thing today copy,anti-iran,neutral,neutral
peace prize pedro president poise push paratrooper persia perfect,neutral,neutral,neutral
,neutral,neutral,neutral
man kill fall debris drone hit dubai marina tower,neutral,neutral,neutral
thousand protest strike iran u embassy london,anti-iran,neutral,anti-iran
trump white house post fascist meme wreck economy united state fully enter drive shooting era u foreign policy trump vance administration action around globe do feel like function government healthy democracy rather addle suburban teen play grand theft auto vice city sta cackle hysterically chug gallon pepsi mow stretch civilian,neutral,neutral,neutral
today toronto ask pro trump iranians whether bother u military massacre schoolgirl iran happen,anti-iran,anti-iran,neutral
feel almost like march one bad news another,neutral,neutral,neutral
bit already include russian attack ukraine u bad course criminal,neutral,neutral,neutral
pressure gulf state budget could lead reassess overseas investment future commitment consider option alleviate financial strain cause u israeli war iran,anti-iran,neutral,neutral
iran weaken faster expect u israel air campaign peak,anti-iran,anti-iran,neutral
really run iran,neutral,neutral,neutral
ask social toddler act like would go time awful po human,neutral,neutral,neutral
first war since second world war directly impact city consider hubs pod welcome discuss economic consequence,neutral,neutral,neutral
bomb school justification excuse help people forum regime use attack iran window iranian foreign minister claim epstein regime attack desalination plant iran iran respond kind middle east could become uninhabitable enough fresh water population survive without vulnerable desalination plant resistance,anti-iran,anti-iran,anti-iran
today tabs favourite newsletter take like mai buy dot com space buy mai space lean mean space launch satellite internet social medium camps service machine musk describes sentient sun understand universe extend light consciousness star like feel somewhere close personal nadir despair lately tabs senior contribute editor jan advice think important quietly radical remember evil real exist good exists u do become like care thing bring u future also late newsletter also long rant people run war iran do give shit destruction cause brief justice,anti-iran,neutral,neutral
play note bowie hawkins episode,neutral,neutral,neutral
make america go away,anti-iran,neutral,anti-iran
iran assembly expert could meet elect new supreme leader within hour,neutral,neutral,neutral
iranian american rally washington democracy amid u israel military campaign washington gray iranian american gather washington saturday rally democracy iran american iran,neutral,neutral,neutral
medium lie kurd,neutral,neutral,neutral
