created_at,username,sentiment_text,url,subject_tag,stance_category,final_text
2026-03-07T23:29:46.949Z,tuckfrump,"#Belgium #operationepicfailure #iran #iranwar #gaza #israel #netanyahu #taco Belgium also says no to Trump’s war, that is besides Spain , some other countries that sound reluctant to join this stupid war are Italy , Germany and France, these last three have not decided yet but they know the consequences, a terrorist attack and a massive exodus of Middle Eastern refugees to Europe.https://substack.com/@rawstory/note/c-224459229?r=17qxua&amp;utm_medium=ios&amp;utm_source=notes-share-action",https://mastodon.social/@tuckfrump/116190490587597144,Military Action,Neutral,belgium also say trumps war besides spain country sound reluctant join stupid war italy germany france last three decide yet know consequence terrorist attack massive exodus middle eastern refugee europe
2026-03-07T23:22:20.068Z,RonSupportsYou,&quot;Massive war price tag could be a massive problem for GOP leaders. The prospect of a ballooning new spending bill has GOP leaders bracing for a messy internal fight&quot;: https://www.politico.com/news/2026/03/06/iran-war-cost-congress-republicans-00816079 #politics #IranWar,https://mastodon.social/@RonSupportsYou/116190461300706686,General Conflict,Neutral,massive war price tag could massive problem top leader prospect balloon new spending bill top leader brace messy internal fight
2026-03-07T23:12:15.293Z,RonSupportsYou,"You, @noncompliant, wrote: &quot;American soldiers are killing innocent women and children and I&#39;m suppose to be opposed to Russia helping Iran fight the most evil shit on the planet&quot;Yes, the most evil shit on the planet is what Russia is doing in Ukraine, now and for more than four years in a genocidal war. As many people know, Trump is #PutinsPuppet. What Trump is doing in the #IranWar helps Russia (by increasing oil prices and wasting American missiles). Both of those results also harm Americans.",https://mastodon.social/@RonSupportsYou/116190421666254752,Military Action,Anti-Iran,write american soldier kill innocent woman child suppose oppose russia help iran fight evil shit planet yes evil shit planet russia ukraine four year genocidal war many people know trump trump help russia increase oil price waste american missile result also harm american
2026-03-07T23:05:16.000Z,AntiracistHippie,NOW ON VERDANT SQUARE RADIO == NOW PLAYING == #GreenSocialist Notes with Howie Hawkins Episode 268  3/7/26 https://www.youtube.com/watch?v=YO8MhYK7GkE  #news #uspol #GreenParty #leftist #revolution #left #green  #socialist #anticapitalist #vsn #radio #HowieHawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza  #israel #genocide https://mastodon.social/@VerdantSquareRadio/116189906452202574,https://heads.social/@AntiracistHippie/116190394252012962,General Conflict,Neutral,verdant square radio playing note bowie hawkins episode
2026-03-07T23:04:35.828Z,RonSupportsYou,"&quot;One gets away with doing reckless, stupid things—like attacking Iran without a plan—-until the moment one doesn’t&quot;: https://www.lawfaremedia.org/article/the-situation--the-base-jumping-presidency Discussing the good and the bad things about the #IranWar as of today. #planning #luck #RunningOutOfLuck copy: @renewedresistance #politics",https://mastodon.social/@RonSupportsYou/116190391554891378,Military Action,Neutral,one get away reckless stupid thing like attack iran without plan moment one discussing good bad thing today copy
2026-03-07T22:46:52.000Z,saskboy,Peace Prize Pedo President is poised to push paratroopers into Persia.Perfect.#IranWar,https://mastodon.cc/@saskboy/116190321877388892,General Conflict,Anti-Iran,peace prize pedro president poise push paratrooper persia perfect
2026-03-07T22:45:11.989Z,PoetGreg,#SEVENTEEN #IranIsraelWar #Trump #TrumpEpsteinFiles #Iran #IranWar #IranIsraelWar #draft,https://mastodon.social/@PoetGreg/116190315281130510,General Conflict,Neutral,
2026-03-07T21:30:12.000Z,metro.co.uk,Man killed by falling debris after drone hits Dubai’s 23 Marina tower  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/man-dies-debris-drone-interception-hits-dubais-23-marina-tower-27289204/,https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/man-dies-debris-drone-interception-hits-dubais-23-marina-tower-27289204/,Military Action,Neutral,man kill fall debris drone hit dubai marina tower
2026-03-07T20:45:56.000Z,metro.co.uk,Thousands protest against strikes on Iran at US Embassy in London  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/thousands-protest-strikes-iran-us-embassy-london-27288490/,https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/thousands-protest-strikes-iran-us-embassy-london-27288490/,Protest/Activism,Neutral,thousand protest strike iran u embassy london
2026-03-07T22:40:33.000Z,CharlieMcHenry,"Trump’s White House Posts Fascist Memes As It Wrecks the Economy - “…the United States has now fully entered the “Drive-By Shooting Era” of US foreign policy. The Trump-Vance administration’s actions around the globe don’t feel like those of a functioning government in a healthy democracy, but rather those of addled suburban teens playing ‘Grand Theft Auto: Vice City,’ or “GTA,” cackling hysterically and chugging gallons of Pepsi as they mow down stretches of civilians…” https://zeteo.com/p/trump-iran-war-grand-theft-auto-memes #IranWar #ForeignPolicy #TrumpRegime #Trump #Republicans #RepublicansDidThis",https://connectop.us/@CharlieMcHenry/116190297009835321,General Conflict,Neutral,trump white house post fascist meme wreck economy united state fully enter drive shooting era u foreign policy trump vance administration action around globe do feel like function government healthy democracy rather addle suburban teen play grand theft auto vice city sta cackle hysterically chug gallon pepsi mow stretch civilian
